"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node4",,,,"User:","db"
"Cmdline:","dstat -lcmdrsyTt --full --output results/cdb_5.stat",,,,"Date:","31 Jan 2019 14:58:37 EST"

"load avg",,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"memory usage",,,,"dsk/sda",,"dsk/sdb",,"io/sda",,"io/sdb",,"swap",,"system",,"epoch","system"
"1m","5m","15m","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read","writ","read","writ","read","writ","used","free","int","csw","epoch","time"
1.0,1.890,1.970,0.711,0.176,98.660,0.428,0.0,0.025,0.554,0.156,98.848,0.425,0.0,0.017,0.535,0.150,98.906,0.399,0.0,0.011,0.533,0.147,98.927,0.387,0.0,0.007,0.764,0.160,98.726,0.343,0.0,0.007,0.509,0.150,99.009,0.326,0.0,0.005,0.467,0.140,99.134,0.255,0.0,0.004,0.456,0.141,99.154,0.244,0.0,0.004,0.255,0.072,99.555,0.115,0.0,0.003,0.251,0.071,99.585,0.090,0.0,0.003,0.282,0.087,99.338,0.290,0.0,0.003,0.260,0.072,99.550,0.116,0.0,0.002,0.253,0.073,99.557,0.115,0.0,0.003,0.251,0.075,99.556,0.116,0.0,0.002,0.254,0.078,99.569,0.097,0.0,0.002,0.313,0.109,99.258,0.317,0.0,0.003,19477311488.0,595726336.0,21703819264.0,405032960.0,37583.172,133797.697,362261.181,121579.932,0.691,2.117,3.609,0.799,1187950592.0,41750183936.0,1120.314,1734.211,1548964717.892,31-01 14:58:37
1.0,1.890,1.970,3.061,1.020,95.918,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,3.960,0.990,95.050,0.0,0.0,0.0,2.041,0.0,97.959,0.0,0.0,0.0,3.030,1.010,68.687,27.273,0.0,0.0,4.0,2.0,86.0,8.0,0.0,0.0,5.0,1.0,92.0,2.0,0.0,0.0,1.0,0.0,96.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,4.040,0.0,95.960,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.010,0.0,91.919,7.071,0.0,0.0,4.040,0.0,85.859,10.101,0.0,0.0,19492302848.0,595726336.0,21703938048.0,389922816.0,0.0,544768.0,0.0,0.0,0.0,55.0,0.0,0.0,1187950592.0,41750183936.0,5305.0,10423.0,1548964718.894,31-01 14:58:38
1.0,1.890,1.970,2.0,0.0,98.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,6.0,0.0,35.0,59.0,0.0,0.0,3.030,0.0,92.929,4.040,0.0,0.0,2.0,0.0,96.0,2.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,1.0,94.0,2.0,0.0,0.0,1.010,0.0,97.980,1.010,0.0,0.0,4.0,1.0,95.0,0.0,0.0,0.0,19492773888.0,595726336.0,21703974912.0,389414912.0,0.0,536576.0,0.0,0.0,0.0,71.0,0.0,0.0,1187950592.0,41750183936.0,3965.0,7373.0,1548964719.894,31-01 14:58:39
1.0,1.890,1.970,2.020,1.010,72.727,24.242,0.0,0.0,1.0,0.0,96.0,3.0,0.0,0.0,2.0,0.0,96.0,2.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,5.102,0.0,62.245,32.653,0.0,0.0,3.0,1.0,93.0,3.0,0.0,0.0,5.051,0.0,94.949,0.0,0.0,0.0,4.0,1.0,94.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.980,0.980,98.039,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.0,91.089,6.931,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,3.0,0.0,85.0,12.0,0.0,0.0,19492483072.0,595726336.0,21704011776.0,389668864.0,0.0,512000.0,0.0,0.0,0.0,70.0,0.0,0.0,1187950592.0,41750183936.0,3923.0,7634.0,1548964720.894,31-01 14:58:40
1.080,1.890,1.970,1.010,0.0,98.990,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.980,1.961,97.059,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.040,2.020,48.485,45.455,0.0,0.0,4.0,0.0,91.0,5.0,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,5.0,1.0,93.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.960,0.990,95.050,0.0,0.0,0.0,4.040,0.0,95.960,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,4.0,1.0,78.0,17.0,0.0,0.0,19492442112.0,595726336.0,21704036352.0,389685248.0,0.0,495616.0,0.0,0.0,0.0,70.0,0.0,0.0,1187950592.0,41750183936.0,4203.0,7734.0,1548964721.893,31-01 14:58:41
1.080,1.890,1.970,2.0,1.0,89.0,8.0,0.0,0.0,0.0,0.0,90.909,9.091,0.0,0.0,0.0,0.0,94.949,5.051,0.0,0.0,0.0,0.980,97.059,1.961,0.0,0.0,4.902,1.961,49.020,44.118,0.0,0.0,2.041,1.020,87.755,9.184,0.0,0.0,6.0,1.0,90.0,3.0,0.0,0.0,2.970,0.990,90.099,5.941,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,2.970,0.990,96.040,0.0,0.0,0.0,6.061,2.020,84.848,7.071,0.0,0.0,4.040,0.0,92.929,3.030,0.0,0.0,19492511744.0,595726336.0,21704220672.0,389431296.0,0.0,1069056.0,0.0,0.0,0.0,129.0,0.0,0.0,1187950592.0,41750183936.0,4028.0,7617.0,1548964722.893,31-01 14:58:42
1.080,1.890,1.970,0.0,0.0,98.969,1.031,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,29.703,3.960,46.535,19.802,0.0,0.0,4.950,0.990,68.317,25.743,0.0,0.0,3.0,0.0,91.0,6.0,0.0,0.0,2.041,0.0,95.918,2.041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,84.0,16.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,95.0,4.0,0.0,0.0,3.0,0.0,97.0,0.0,0.0,0.0,1.0,1.0,57.0,40.0,0.0,1.0,19492786176.0,595726336.0,21706231808.0,387145728.0,2449408.0,593920.0,0.0,0.0,67.0,77.0,0.0,0.0,1187950592.0,41750183936.0,4328.0,7846.0,1548964723.893,31-01 14:58:43
1.080,1.890,1.970,4.0,1.0,35.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,63.636,2.020,21.212,13.131,0.0,0.0,2.020,1.010,71.717,25.253,0.0,0.0,2.970,0.990,86.139,9.901,0.0,0.0,4.854,0.971,91.262,2.913,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,97.0,3.0,0.0,0.0,3.960,0.0,94.059,1.980,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,5.0,0.0,49.0,46.0,0.0,0.0,19494006784.0,595726336.0,21710090240.0,382066688.0,3862528.0,651264.0,0.0,0.0,90.0,83.0,0.0,0.0,1187950592.0,41750183936.0,5020.0,8930.0,1548964724.893,31-01 14:58:44
1.080,1.890,1.970,2.041,0.0,97.959,0.0,0.0,0.0,2.970,0.0,97.030,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,4.0,1.0,37.0,58.0,0.0,0.0,5.0,0.0,64.0,30.0,0.0,1.0,3.030,0.0,91.919,5.051,0.0,0.0,3.061,1.020,93.878,2.041,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,96.040,2.970,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,2.941,0.0,96.078,0.980,0.0,0.0,5.0,1.0,50.0,44.0,0.0,0.0,19495026688.0,595726336.0,21714210816.0,376926208.0,4112384.0,819200.0,0.0,0.0,92.0,93.0,0.0,0.0,1187950592.0,41750183936.0,5414.0,9773.0,1548964725.893,31-01 14:58:45
1.230,1.910,1.970,54.545,6.061,37.374,1.010,0.0,1.010,52.041,2.041,43.878,2.041,0.0,0.0,42.424,5.051,51.515,0.0,0.0,1.010,42.0,6.0,46.0,6.0,0.0,0.0,62.887,5.155,25.773,6.186,0.0,0.0,59.596,7.071,29.293,4.040,0.0,0.0,62.376,5.941,28.713,2.970,0.0,0.0,50.0,3.0,45.0,2.0,0.0,0.0,49.0,3.0,41.0,7.0,0.0,0.0,49.495,5.051,45.455,0.0,0.0,0.0,52.0,5.0,36.0,7.0,0.0,0.0,29.126,5.825,57.282,3.883,0.0,3.883,51.0,4.0,44.0,1.0,0.0,0.0,50.505,4.040,36.364,9.091,0.0,0.0,50.0,4.082,45.918,0.0,0.0,0.0,59.184,4.082,32.653,4.082,0.0,0.0,19600351232.0,595726336.0,21739671552.0,246140928.0,24387584.0,1024000.0,0.0,0.0,997.0,48.0,0.0,0.0,1187950592.0,41750183936.0,43667.0,13779.0,1548964726.894,31-01 14:58:46
